models,has_clash,ptm,iptm,ranking_score,num_recycles,fraction_disordered
ViralTFs_BNYVV_P25_ssDNA_4,0.0,0.63,0.29,0.39,10.00,0.06
ViralTFs_BNYVV_P25_ssDNA_3,0.0,0.64,0.34,0.42,10.00,0.04
ViralTFs_BNYVV_P25_dimer_dsDNA_1,0.0,0.25,0.39,61.09,0.28,1.93
ViralTFs_BNYVV_P25_dimer_dsDNA_2,0.0,0.22,0.39,60.45,0.26,1.90
ViralTFs_BNYVV_P25_dimer_dsDNA_3,0.0,0.22,0.39,60.86,0.25,1.92
ViralTFs_BNYVV_P25_dimer_dsDNA_4,0.0,0.20,0.39,60.86,0.24,1.92
ViralTFs_BNYVV_P25_ssDNA_2,0.0,0.63,0.39,0.44,10.00,0.01
ViralTFs_BNYVV_P25_dimer_dsDNA_0,0.0,0.26,0.40,61.69,0.29,1.91
ViralTFs_BNYVV_P25_ssDNA_1,0.0,0.69,0.42,0.47,10.00,0.00
ViralTFs_BNYVV_P25_ssDNA_0,0.0,0.72,0.60,0.62,10.00,0.00
ViralTFs_BNYVV_P25_monomer_1Zn_dsDNA_4,0.0,0.51,0.75,86.50,0.56,0.55
ViralTFs_BNYVV_P25_dimer_2Zn_ssDNA_4,0.0,0.70,0.80,64.00,0.72,0.71
ViralTFs_BNYVV_P25_dimer_2Zn_dsDNA_4,0.0,0.73,0.82,69.00,0.75,0.59
ViralTFs_BNYVV_P25_dimer_2Zn_ssDNA_3,0.0,0.73,0.82,64.00,0.75,0.69
ViralTFs_BNYVV_P25_dimer_2Zn_ssDNA_2,0.0,0.74,0.82,63.25,0.75,0.67
ViralTFs_BNYVV_P25_dimer_2Zn_ssDNA_1,0.0,0.74,0.82,63.25,0.76,0.69
ViralTFs_BNYVV_P25_dimer_2Zn_dsDNA_3,0.0,0.74,0.82,70.50,0.76,0.61
ViralTFs_BNYVV_P25_dimer_2Zn_ssDNA_0,0.0,0.75,0.83,64.50,0.77,0.69
ViralTFs_BNYVV_P25_monomer_1Zn_dsDNA_3,0.0,0.87,0.88,88.50,0.87,0.37
ViralTFs_BNYVV_P25_monomer_1Zn_dsDNA_2,0.0,0.88,0.89,89.00,0.88,0.38
ViralTFs_BNYVV_P25_dimer_2Zn_dsDNA_2,0.0,0.85,0.89,70.00,0.86,0.50
ViralTFs_BNYVV_P25_monomer_1Zn_dsDNA_0,0.0,0.89,0.89,89.50,0.89,0.36
ViralTFs_BNYVV_P25_monomer_1Zn_dsDNA_1,0.0,0.89,0.90,88.00,0.89,0.37
ViralTFs_BNYVV_P25_dimer_2Zn_dsDNA_1,0.0,0.86,0.90,71.00,0.87,0.47
ViralTFs_BNYVV_P25_dimer_2Zn_dsDNA_0,0.0,0.92,0.93,72.50,0.92,0.42
